strategy,hypothesis_id,symbol,folder
unique_00713,H009,ES,strategies/H009/unique_00713
unique_00714,H009,ES,strategies/H009/unique_00714
unique_00715,H009,ES,strategies/H009/unique_00715
unique_00716,H010,ES,strategies/H010/unique_00716
unique_00717,H010,ES,strategies/H010/unique_00717
unique_00718,H010,ES,strategies/H010/unique_00718
unique_00719,H010,ES,strategies/H010/unique_00719
unique_00720,H011,ES,strategies/H011/unique_00720
unique_00721,H011,ES,strategies/H011/unique_00721
unique_00722,H011,ES,strategies/H011/unique_00722
unique_00723,H011,ES,strategies/H011/unique_00723
unique_00724,H011,ES,strategies/H011/unique_00724
unique_00725,H011,ES,strategies/H011/unique_00725
unique_00726,H011,ES,strategies/H011/unique_00726
unique_00727,H011,ES,strategies/H011/unique_00727
unique_00728,H011,ES,strategies/H011/unique_00728
unique_00729,H008,GC,strategies/H008/unique_00729
unique_00730,H008,GC,strategies/H008/unique_00730
unique_00731,H008,GC,strategies/H008/unique_00731
unique_00732,H008,GC,strategies/H008/unique_00732
unique_00733,H008,GC,strategies/H008/unique_00733
unique_00734,H008,GC,strategies/H008/unique_00734
unique_00735,H009,GC,strategies/H009/unique_00735
unique_00736,H009,GC,strategies/H009/unique_00736
unique_00737,H009,GC,strategies/H009/unique_00737
unique_00738,H009,GC,strategies/H009/unique_00738
unique_00739,H009,GC,strategies/H009/unique_00739
unique_00740,H009,GC,strategies/H009/unique_00740
unique_00741,H009,GC,strategies/H009/unique_00741
unique_00742,H009,GC,strategies/H009/unique_00742
unique_00743,H010,GC,strategies/H010/unique_00743
unique_00744,H010,GC,strategies/H010/unique_00744
unique_00745,H010,GC,strategies/H010/unique_00745
unique_00746,H010,GC,strategies/H010/unique_00746
unique_00747,H011,GC,strategies/H011/unique_00747
unique_00748,H011,GC,strategies/H011/unique_00748
unique_00749,H011,GC,strategies/H011/unique_00749
unique_00750,H011,GC,strategies/H011/unique_00750
unique_00751,H011,GC,strategies/H011/unique_00751
unique_00752,H011,GC,strategies/H011/unique_00752
unique_00753,H011,GC,strategies/H011/unique_00753
unique_00754,H011,GC,strategies/H011/unique_00754
unique_00755,H011,GC,strategies/H011/unique_00755
unique_00756,H008,HG,strategies/H008/unique_00756
unique_00757,H008,HG,strategies/H008/unique_00757
unique_00758,H008,HG,strategies/H008/unique_00758
unique_00759,H008,HG,strategies/H008/unique_00759
unique_00760,H008,HG,strategies/H008/unique_00760
unique_00761,H008,HG,strategies/H008/unique_00761
unique_00762,H009,HG,strategies/H009/unique_00762
unique_00763,H009,HG,strategies/H009/unique_00763
unique_00764,H009,HG,strategies/H009/unique_00764
unique_00765,H009,HG,strategies/H009/unique_00765
unique_00766,H009,HG,strategies/H009/unique_00766
unique_00767,H009,HG,strategies/H009/unique_00767
unique_00768,H009,HG,strategies/H009/unique_00768
unique_00769,H009,HG,strategies/H009/unique_00769
unique_00770,H010,HG,strategies/H010/unique_00770
unique_00771,H010,HG,strategies/H010/unique_00771
unique_00772,H010,HG,strategies/H010/unique_00772
unique_00773,H010,HG,strategies/H010/unique_00773
unique_00774,H011,HG,strategies/H011/unique_00774
unique_00775,H011,HG,strategies/H011/unique_00775
unique_00776,H011,HG,strategies/H011/unique_00776
unique_00777,H011,HG,strategies/H011/unique_00777
unique_00778,H011,HG,strategies/H011/unique_00778
unique_00779,H011,HG,strategies/H011/unique_00779
unique_00780,H011,HG,strategies/H011/unique_00780
unique_00781,H011,HG,strategies/H011/unique_00781
unique_00782,H011,HG,strategies/H011/unique_00782
unique_00783,H008,NG,strategies/H008/unique_00783
unique_00784,H008,NG,strategies/H008/unique_00784
unique_00785,H008,NG,strategies/H008/unique_00785
